company,job_title,country,city,district,job_type
El Sewedy Education - The Knowledge Hub Universities,Senior Application Support Officer,Egypt,Cairo,New Capital,Full Time
El Alsson British & American International School,IT Help Desk,Egypt,Giza,6th of October,Full Time
Four Seasons Hotels and Resorts,Learning & Development Manager,Saudi Arabia,Riyadh,,Full Time
Schneider Electric - Egypt,Senior Technical Support Engineer ( French speaker),Egypt,Cairo,,Full Time
ADNOC (Abu Dhabi National Oil Company),"Senior Engineer, Reservoir Simulation",United Arab Emirates,Abu Dhabi,,Full Time
UrbaCon Contracting & Trading Company,Senior Logistics Manager,Saudi Arabia,Riyadh,,Full Time
Park Rotana,Front Desk Agent,United Arab Emirates,Abu Dhabi,,Full Time
NOMAC,Electrical Technician - Sakaka PV,Saudi Arabia,Riyadh,,Full Time
"White House Nannies, Inc.",Great Schedule for an Active & Fun-loving Nanny,Egypt,Alexandria,,Full Time
University of Doha for Science and Technology (UDST),Lecturer in Mathematics,Qatar,Doha,,Full Time
Giza Arabia Systems,Specialist Big Data Administrator - SWDC,Egypt,Cairo,,Full Time
Giza Arabia Systems,Site Reliability Engineer Specialist - SWDC,Egypt,Cairo,,Full Time
Antal International - Egypt,Information Security Manager,Egypt,Cairo,,Full Time
City Centre Rotana,Team Leader - Guest Services,Qatar,Doha,,Full Time
Biospan Limited,Private Chef Role in Saudi Arabia - Health-Focused,Qatar,Doha,,Full Time
"GreatAuPair, LLC",Professional family with one daughter,United Arab Emirates,Dubai,,Full Time
Ernst & Young - MENA,"Manager, Enterprise Asset Management - Supply Chain & Operations",Qatar,Doha,,Full Time
Professional Recruitment,Software Engineer,Saudi Arabia,Riyadh,,Full Time
,IT Application Engineer,United Arab Emirates,Ajman,,Full Time
NOMAC,Condition Monitoring Engineer - Rabigh,Saudi Arabia,Rabigh,,Full Time
Confidential,React Native Senior Developer at KSA,Saudi Arabia,Riyadh,,Full Time
Confidential,Senior Oracle APEX Developer at KSA,Saudi Arabia,Riyadh,,Full Time
