company,job_title,country,city,district,job_category
Cilantro,ICT Helpdesk Administrator,Egypt,Cairo,Maadi,IT/Software Development
Forasna,Corporate Sales Account Manager,Egypt,Cairo,Maadi,IT/Software Development
Forasna,Corporate Sales Account Manager,Egypt,Cairo,Maadi,Sales/Retail
EEC Group,IT System Admin,Egypt,Sharqia,Belbes,IT/Software Development
Confidential,IT Help Desk Specialist,Egypt,Cairo,Sheraton,Installation/Maintenance/Repair
Confidential,IT Help Desk Specialist,Egypt,Cairo,Sheraton,IT/Software Development
Confidential,IT Help Desk Specialist,Egypt,Cairo,Sheraton,Engineering - Telecom/Technology
Confidential,Java Team Leader,Egypt,Cairo,,IT/Software Development
Confidential,Java Team Leader,Egypt,Cairo,,Engineering - Telecom/Technology
Nile Projects & Trading,Website and Application Developer,Egypt,Alexandria,,IT/Software Development
Nile Projects & Trading,Website and Application Developer,Egypt,Alexandria,,Engineering - Telecom/Technology
Basata,Product Owner,Egypt,Cairo,Maadi,IT/Software Development
InitRes,Full Stack Developer (JavaScript & .NET),Egypt,Cairo,,IT/Software Development
Confidential,Contact Center Systems Support Lead,Egypt,Cairo,Downtown,Customer Service/Support
Confidential,Contact Center Systems Support Lead,Egypt,Cairo,Downtown,IT/Software Development
Perfect Presentation,Senior systems analyst,Egypt,Giza,6th of October,IT/Software Development
Confidential,Systems Analyst,Egypt,Giza,Mohandessin,IT/Software Development
Confidential,Systems Analyst,Egypt,Giza,Mohandessin,Analyst/Research
Confidential,Systems Analyst,Egypt,Giza,Mohandessin,Engineering - Telecom/Technology
Seoudi Supermarket,Junior Product Manager,Egypt,Giza,Sheikh Zayed,IT/Software Development
Ethos International School,Computing Teacher,Egypt,Giza,Sheikh Zayed,IT/Software Development
Ethos International School,Computing Teacher,Egypt,Giza,Sheikh Zayed,Engineering - Telecom/Technology
Ethos International School,Computing Teacher,Egypt,Giza,Sheikh Zayed,Education/Teaching
Nugttah,Full stack dev (Nextjs - Prisma - MySQL),Saudi Arabia,Riyadh,,IT/Software Development
Confidential,Senior Software Tester - Quality Assurance,Egypt,Cairo,Nasr City,IT/Software Development
Confidential,Senior Software Tester - Quality Assurance,Egypt,Cairo,Nasr City,Quality
Confidential,Senior Software Tester - Quality Assurance,Egypt,Cairo,Nasr City,Engineering - Telecom/Technology
Sulfah,Senior Flutter Developer,Egypt,Cairo,Maadi,IT/Software Development
Sulfah,Senior Flutter Developer,Egypt,Cairo,Maadi,Engineering - Telecom/Technology
Confidential,Backend Team lead - PHP,Egypt,Cairo,Nasr City,IT/Software Development
Confidential,Backend Team lead - PHP,Egypt,Cairo,Nasr City,Engineering - Telecom/Technology
Confidential,iOS Mobile Developer,Egypt,Cairo,,IT/Software Development
Confidential,iOS Mobile Developer,Egypt,Cairo,,Engineering - Telecom/Technology
Confidential,Android Developer,Egypt,Cairo,Heliopolis,IT/Software Development
Confidential,Product Owner,Egypt,Cairo,Heliopolis,IT/Software Development
Confidential,Product Owner,Egypt,Cairo,Heliopolis,Project/Program Management
Confidential,Product Owner,Egypt,Cairo,Heliopolis,Engineering - Telecom/Technology
Ejada,UI Developer,Egypt,Cairo,,IT/Software Development
Confidential,Senior Software Tester,Egypt,Cairo,Heliopolis,IT/Software Development
Confidential,Senior Software Tester,Egypt,Cairo,Heliopolis,Quality
Confidential,Senior Software Tester,Egypt,Cairo,Heliopolis,Engineering - Telecom/Technology
Kick Start Interactive,Quality Control Engineer,Egypt,Giza,Dokki,IT/Software Development
Ejada,Senior .NET Developer,Egypt,Cairo,,IT/Software Development
Confidential,Senior .Net Backend Developer,Egypt,Cairo,Heliopolis,IT/Software Development
Confidential,Senior .Net Backend Developer,Egypt,Cairo,Heliopolis,Engineering - Telecom/Technology
Confidential,Senior Flutter Mobile Developer,Egypt,Cairo,Heliopolis,IT/Software Development
Confidential,Senior Flutter Mobile Developer,Egypt,Cairo,Heliopolis,Engineering - Telecom/Technology
classera,Magento Developer,Egypt,Cairo,New Cairo,IT/Software Development
classera,Magento Developer,Egypt,Cairo,New Cairo,Engineering - Telecom/Technology
Confidential,Senior Technical Support Engineer,Egypt,Cairo,Heliopolis,IT/Software Development
Confidential,Senior Technical Support Engineer,Egypt,Cairo,Heliopolis,Engineering - Telecom/Technology
Confidential,Software Engineer,Egypt,Cairo,Heliopolis,IT/Software Development
Kode Clubs - Hassan Allam Sports Clubs,IT Help Desk Specialist,Egypt,Cairo,New Cairo,Installation/Maintenance/Repair
Kode Clubs - Hassan Allam Sports Clubs,IT Help Desk Specialist,Egypt,Cairo,New Cairo,IT/Software Development
Kode Clubs - Hassan Allam Sports Clubs,IT Help Desk Specialist,Egypt,Cairo,New Cairo,Engineering - Telecom/Technology
Glamera,Saas Software Sales Executive,Egypt,Cairo,Nasr City,IT/Software Development
Travolic.LLc,Front End Developer - React & Next.js,Egypt,Cairo,New Cairo,Creative/Design/Art
Travolic.LLc,Front End Developer - React & Next.js,Egypt,Cairo,New Cairo,IT/Software Development
Travolic.LLc,Front End Developer - React & Next.js,Egypt,Cairo,New Cairo,Engineering - Telecom/Technology
Confidential,Microsoft Power BI Developer,Egypt,Cairo,,Installation/Maintenance/Repair
Confidential,Microsoft Power BI Developer,Egypt,Cairo,,IT/Software Development
Confidential,Microsoft Power BI Developer,Egypt,Cairo,,Engineering - Telecom/Technology
Confidential,SAP ABAP Developer,Egypt,Cairo,,Accounting/Finance
Confidential,SAP ABAP Developer,Egypt,Cairo,,IT/Software Development
Confidential,SAP ABAP Developer,Egypt,Cairo,,Engineering - Telecom/Technology
Travolic.LLc,Product/Project Manager,Egypt,Cairo,New Cairo,IT/Software Development
Travolic.LLc,Product/Project Manager,Egypt,Cairo,New Cairo,Project/Program Management
Tech 101,PHP Developer,Egypt,Cairo,,IT/Software Development
iNetwork Solutions,System Engineer,Egypt,Giza,6th of October,IT/Software Development
OdooTec,Python Developer,Egypt,Cairo,New Cairo,Installation/Maintenance/Repair
OdooTec,Python Developer,Egypt,Cairo,New Cairo,IT/Software Development
OdooTec,Python Developer,Egypt,Cairo,New Cairo,Engineering - Telecom/Technology
Youxel,Senior Back End Developer,Egypt,Cairo,Maadi,IT/Software Development
Youxel,Senior Back End Developer,Egypt,Cairo,Maadi,Engineering - Telecom/Technology
alfanar,IT Help Desk,Egypt,Cairo,Heliopolis,IT/Software Development
Confidential,PHP Web Developer,Egypt,Cairo,Nasr City,Installation/Maintenance/Repair
Confidential,PHP Web Developer,Egypt,Cairo,Nasr City,IT/Software Development
Confidential,PHP Web Developer,Egypt,Cairo,Nasr City,Engineering - Telecom/Technology
Town Team,IT Technical Support Specialist - Tanta,Egypt,Gharbia,Tanta,Installation/Maintenance/Repair
Town Team,IT Technical Support Specialist - Tanta,Egypt,Gharbia,Tanta,IT/Software Development
Town Team,IT Technical Support Specialist - Tanta,Egypt,Gharbia,Tanta,Engineering - Telecom/Technology
Fawry for Banking Technology and Electronic Payments S.A.E,Scrum Master,Egypt,Giza,6th of October,IT/Software Development
Fawry for Banking Technology and Electronic Payments S.A.E,Scrum Master,Egypt,Giza,6th of October,Project/Program Management
Fawry for Banking Technology and Electronic Payments S.A.E,Scrum Master,Egypt,Giza,6th of October,Engineering - Telecom/Technology
Fawry for Banking Technology and Electronic Payments S.A.E,Senior Java Developer,Egypt,Giza,Smart Village,IT/Software Development
Fawry for Banking Technology and Electronic Payments S.A.E,Senior Java Developer,Egypt,Giza,Smart Village,Engineering - Telecom/Technology
Fawry for Banking Technology and Electronic Payments S.A.E,Testing Team Lead,Egypt,Giza,,IT/Software Development
Fawry for Banking Technology and Electronic Payments S.A.E,Testing Team Lead,Egypt,Giza,,Quality
Fawry for Banking Technology and Electronic Payments S.A.E,Testing Team Lead,Egypt,Giza,,Engineering - Telecom/Technology
Confidential,Senior Consultant - Microsoft Dynamics 365 HR & Payroll,Saudi Arabia,Jeddah,,IT/Software Development
Confidential,Senior Consultant - Microsoft Dynamics 365 HR & Payroll,Saudi Arabia,Jeddah,,Engineering - Telecom/Technology
Signature Technology DMCC,React Developer,Egypt,Cairo,,IT/Software Development
Noases,Software Sales,Egypt,Cairo,Nasr City,IT/Software Development
Noases,Telesales Agent,Egypt,Cairo,,IT/Software Development
Mercury Visual Solutions,IT systems Engineer,Egypt,Cairo,,IT/Software Development
Mercury Visual Solutions,IT systems Engineer,Egypt,Cairo,,Engineering - Telecom/Technology
"The Micro, Small & Medium Enterprise Development Agency",Assistant Computer Systems Administrator,Egypt,Giza,Dokki,IT/Software Development
"The Micro, Small & Medium Enterprise Development Agency",Assistant Computer Systems Administrator,Egypt,Giza,Dokki,Engineering - Telecom/Technology
"The Micro, Small & Medium Enterprise Development Agency",Network Engineer,Egypt,Giza,Dokki,IT/Software Development
"The Micro, Small & Medium Enterprise Development Agency",Network Engineer,Egypt,Giza,Dokki,Engineering - Telecom/Technology
RUSHBRUSH INC,Senior System and Network Administrator,Egypt,Alexandria,,Installation/Maintenance/Repair
RUSHBRUSH INC,Senior System and Network Administrator,Egypt,Alexandria,,IT/Software Development
RUSHBRUSH INC,Senior System and Network Administrator,Egypt,Alexandria,,Engineering - Telecom/Technology
Confidential,Machine Learning Engineer,Egypt,Giza,Giza,IT/Software Development
CrossWorkers,DevOps Engineer,Egypt,Cairo,New Cairo,IT/Software Development
Charisma Design,Flutter Developer,Egypt,Cairo,Nasr City,Creative/Design/Art
Charisma Design,Flutter Developer,Egypt,Cairo,Nasr City,IT/Software Development
Charisma Design,Flutter Developer,Egypt,Cairo,Nasr City,Engineering - Telecom/Technology
